genre,artist,play_count,total_minutes
Other,Clean Bandit,5,11.1
Other,Cliff Lin,7,7.6
Other,Clint Mansell,28,84.8
Other,Closure in Moscow,567,1674.0
Other,Coal Chamber,10,14.9
Other,Coheed and Cambria,15,60.4
Other,Coiffeur,18,27.5
Other,Coil,6,37.3
Other,Cold,46,141.8
Other,Cold War Kids,7,17.3
Other,Coldplay,186,704.8
Other,Collective Soul,8,32.4
Other,Comet Blue,5,0.4
Other,Conan Gray,44,96.9
Other,Connor Questa,8,21.2
Other,Coolio,6,9.7
Other,Copeland,6,18.7
Other,Corey Taylor,30,63.2
Other,Cornelia Mooswalder,13,17.6
Other,Corner Stone Cues,5,0.6
Other,Counting Crows,23,86.4
Other,Craig Armstrong,13,34.6
Other,Cray Frog,13,16.3
Other,Cray Town,7,7.8
Other,Cream,11,20.6
Other,Creed,19,52.6
Other,Creedence Clearwater Revival,34,76.0
Other,Crippled Black Phoenix,8,13.4
Other,Cristin Milioti,7,9.7
Other,Crossfade,14,30.2
Other,Crowded House,15,41.3
Other,Crown The Empire,15,28.3
Other,Culture Club,16,28.9
Other,Cutting Crew,25,97.9
Other,Cyndi Lauper,31,88.9
Other,Cypress Hill,17,47.5
Other,Céline Dion,13,56.3
Other,D'Artagnan,28,26.3
Other,DAF,7,5.2
Other,DEVO,9,18.0
Other,DJ Hidden,14,33.5
Other,DNCE,8,19.5
Other,Daddy Yankee,14,40.0
Other,Daft Punk,165,669.7
Other,Damas Gratis,5,17.4
Other,Damien Rice,20,34.4
Other,Dan Swanö,8,0.5
Other,Dance Gavin Dance,6,25.0
Other,Dancing Mood,5,0.7
Other,Daniel Cavanagh,24,90.6
Other,Daniel Piaolla Octet,29,8.1
Other,Daniella Babbitt,5,0.0
Other,Danny Elfman,103,259.7
Other,Dario Marianelli,148,288.7
Other,Dark Tranquillity,15,34.2
Other,Daron Malakian and Scars On Broadway,11,17.4
Other,Daryl Griffith,6,12.0
Other,Daryl Hall & John Oates,46,129.3
Other,Dashboard Confessional,10,25.3
Other,Datsik,9,16.0
Other,Daughter,42,102.5
Other,Daughtry,46,125.2
Other,Dave Weckl,5,16.8
Other,David Bowie,76,271.1
Other,David Gilmour,41,155.8
Other,David Guetta,7,20.8
Other,David Hewson,6,9.3
Other,David Maxim Micic,12,24.6
Other,David Phelps,8,15.7
Other,Daya,6,13.4
Other,Dead By Sunrise,149,292.6
Other,Dead Letter Circus,21,57.8
Other,Dead Or Alive,38,92.4
Other,Dead Sara,12,14.2
Other,Deaf Havana,5,4.5
Other,Dean Lewis,21,46.0
Other,Death,12,17.0
Other,Death Cab for Cutie,31,78.5
Other,Decyfer Down,21,41.4
Other,Deee-Lite,5,15.4
Other,Deep Blue Something,6,17.3
Other,Deep Purple,71,162.0
Other,Def Leppard,31,125.1
Other,Default,51,101.5
Other,Deftones,70,221.0
Other,Delain,63,218.6
Other,Demi Lovato,32,67.0
Other,Demians,181,542.3
Other,Demon Hunter,5,19.6
Other,Depeche Mode,368,1169.7
Other,Dermot Kennedy,18,46.6
Other,Destiny Potato,219,406.9
Other,Destiny's Child,14,30.9
Other,Device,51,140.7
Other,DevilDriver,6,17.5
Other,Devin Townsend,11,38.4
Other,Devin Townsend Project,115,333.7
Other,Diablo Swing Orchestra,8,24.3
Other,Diary Of Dreams,15,32.0
Other,Dido,15,44.7
Other,Digital Summer,57,90.7
Other,Dillon Francis,6,9.7
Other,Dimmu Borgir,7,8.5
Other,Dio,17,56.3
Other,Dire Straits,70,297.5
Other,Dirk Maassen,7,31.0
Other,Dishwalla,38,28.7
Other,Disillusion,5,10.7
Other,Disperse,9,26.4
Other,Distorted Harmony,9,20.6
Other,Disturbed,52,136.1
Other,Divididos,201,620.4
Other,Djelmash,61,104.8
Other,Djo,6,3.5
Other,Dmitri Shostakovich,5,14.8
Other,Doja Cat,6,14.7
Other,Dommin,5,20.0
Other,Donna Summer,6,12.0
Other,Donots,10,9.7
Other,Dope,11,13.1
Other,Dove Cameron,13,28.0
Other,Doves,13,36.2
Other,Dr. Dre,22,37.9
Other,Draconian,7,12.2
Other,DragonForce,13,35.6
Other,Dragonland,23,62.4
Other,Dream Evil,6,18.6
Other,Dream Theater,1777,7805.2
Other,Dredg,13,44.3
Other,Dropkick Murphys,5,6.0
Other,Drowning Pool,24,49.6
Other,Dua Lipa,135,386.4
Other,Duffy,5,13.2
Other,Duke Ellington,6,23.5
Other,Duran Duran,253,826.0
Other,Dynamedion,33,64.7
Other,ELIO,7,9.1
Other,EMELINE,20,31.9
Other,Eagle-Eye Cherry,8,8.4
Other,Eagles,80,275.3
Other,Eagles Of Death Metal,6,10.5
Other,Earshot,5,12.1
Other,"Earth, Wind & Fire",15,50.0
Other,Earthside,63,251.6
Other,Echo & the Bunnymen,25,82.5
Other,Ed Prosek,13,35.2
Other,Ed Sheeran,1050,2537.4
Other,Eddie Money,10,10.7
Other,Eddie Vedder,17,35.7
Other,Eden Project,9,13.1
Other,Edenbridge,10,29.6
Other,Edgar De Vries,6,2.6
Other,Edguy,26,97.5
Other,Editors,40,129.8
Other,Edvard Grieg,10,45.0
Other,Edvard Kravchuk,9,6.6
Other,Edward Sharpe & The Magnetic eros,14,23.2
Other,Ego Kill Talent,9,21.9
Other,Egypt Central,7,22.2
Other,Einar Solberg,29,145.1
Other,Eisbrecher,6,18.2
Other,El Búho,7,13.3
Other,El Cuarteto De Nos,61,125.1
Other,El Kuelgue,5,5.0
Other,El Mató a un Policía Motoriado,218,380.6
Other,El ar,5,12.7
Other,El viaje de Jim,7,21.7
Other,Electric Light Orchestra,55,164.9
Other,Electric Six,5,13.2
Other,Elina,10,5.6
Other,Ellie Goulding,75,175.3
Other,Elliott Smith,119,128.2
Other,Ellise,14,33.0
Other,Elton John,60,201.3
Other,Eluveitie,15,35.2
Other,Elvenking,11,41.3
Other,Elvis Presley,14,19.4
Other,Emarosa,5,17.1
Other,"Emerson, Lake & Palmer",21,85.7
Other,Emigrate,6,13.7
Other,Emilie Autumn,9,6.6
Other,Eminem,441,1420.8
Other,Emma Blackery,18,17.5
Other,Emmanuel Horvilleur,53,86.6
Other,Emmanuelle Rimbaud,7,5.5
Other,Enchant,10,24.2
Other,Ends With A Bullet,7,4.0
Other,Enemy Inside,8,20.3
Other,Ennio Morricone,41,100.9
Other,Enrique Iglesias,16,34.2
Other,Ensiferum,10,34.9
Other,Entre Rios,11,1.9
Other,Entwine,9,24.6
Other,Enya,18,60.3
Other,Epic North,5,0.0
Other,Epic Rap Battles of History,7,4.6
Other,Epic Score,13,23.6
Other,Epica,234,616.0
Other,Erasure,43,110.2
Other,Eric Clapton,199,418.7
Other,Eric Johnson,16,55.9
Other,Erik Ekholm,10,2.9
